Date;AUD;CAD;CHF;DKK;EUR;GBP;HKD;JPY;MXN;NOK;NZD;SEK;SGD;USD;;
01/01/1971;1.11813;0.988337616;0.232273739;0.133607674;;2.4058;;0.00279314;;0.140033664;1.1194;0.193652647;;1;;
01/02/1971;1.1238;0.992555831;0.23265944;0.133593395;;2.4178;;0.002796851;;0.140007109;1.125;0.19332492;;1;;
01/03/1971;1.124256522;0.9936407;0.232542621;0.133675543;;2.4187;;0.002797057;;0.140102092;1.1254;0.193693508;;1;;
01/04/1971;1.123836364;0.992358837;0.232629945;0.133534525;;2.4179;;0.002797178;;0.140278031;1.125;0.19368533;;1;;
01/05/1971;1.12426;0.991375037;0.242470973;0.133336889;;2.4187;;0.002797884;;0.140557225;1.1254;0.193572428;;1;;
01/06/1971;1.124304545;0.979144228;0.244269927;0.133424062;;2.4188;;0.002797893;;0.140624501;1.1255;0.193704259;;1;;
01/07/1971;1.124128571;0.979144228;0.24422694;0.133345779;;2.4185;;0.002797952;;0.14072907;1.1253;0.193713892;;1;;
01/08/1971;1.131647059;0.987166831;0.248103106;0.134336378;;2.4346;;0.002810726;;0.142411956;1.1328;0.195012051;;1;;
01/09/1971;1.147828571;0.987166831;0.251180549;0.136722221;;2.4694;;0.002958396;;0.144943241;1.149;0.197312417;;1;;
01/10/1971;1.157657895;0.995321987;0.251569329;0.13767657;;2.4896;;0.00302014;;0.14598944;1.1588;0.199135333;;1;;
01/11/1971;1.158925;0.996115151;0.251039933;0.137752431;;2.4933;;0.003041807;;0.145782264;1.1601;0.199886664;;1;;
01/12/1971;1.174828571;1.00070049;0.256140682;0.139928636;;2.5266;;0.00312429;;0.14815613;1.1731;0.204335631;;1;;
01/01/1972;1.19097619;0.994134606;0.256924105;0.142184812;;2.5705;;0.003197749;;0.149128663;1.1936;0.207305035;;1;;
01/02/1972;1.191;0.995321987;0.258996234;0.143061516;;2.6037;;0.00327668;;0.150290624;1.1939;0.208576673;;1;;
01/03/1972;1.191;1.001502253;0.259285814;0.143605945;;2.6181;;0.003305386;;0.151608334;1.1928;0.209556887;;1;;
01/04/1972;1.191;1.00431857;0.259679893;0.143012413;;2.6102;;0.003294236;;0.15150838;1.1937;0.209069213;;1;;
01/05/1972;1.191;1.011224593;0.259031059;0.143317807;;2.6124;;0.003285372;;0.152137006;1.1941;0.210322434;;1;;
01/06/1972;1.191;1.020929045;0.263172061;0.143334241;;2.5691;;0.003306719;;0.153025488;1.1913;0.211008506;;1;;
01/07/1972;1.191;1.016260163;0.265607072;0.143684354;;2.4447;;0.003321923;;0.153667309;1.1931;0.211343213;;1;;
01/08/1972;1.191130435;1.017915309;0.264493374;0.144381398;;2.4502;;0.003320485;;0.153347646;1.1945;0.211603022;;1;;
01/09/1972;1.191;1.017293998;0.264030934;0.143841429;;2.441;;0.003320946;;0.152089636;1.1933;0.21145449;;1;;
01/10/1972;1.1907;1.017604559;0.263318311;0.144531645;;2.3948;;0.003322138;;0.151409509;1.1921;0.210783694;;1;;
01/11/1972;1.1909;1.012760786;0.263464345;0.145093658;;2.3515;;0.003322386;;0.15143668;1.1945;0.210756595;;1;;
01/12/1972;1.20739;1.003210273;0.265254804;0.146006716;;2.3449;;0.003319607;;0.151867323;1.1953;0.210801689;;1;;
01/01/1973;1.271645455;1.00070049;0.268144549;0.145355175;;2.3563;;0.003313582;;0.151283538;1.1952;0.210920101;;1;;
01/02/1973;1.354588235;1.004419446;0.292653899;0.15361691;;2.4272;;0.003591689;;0.160161158;1.2687;0.219182086;;1;;
01/03/1973;1.412909524;1.003310926;0.310840272;0.162736578;;2.4724;;0.003818231;;0.169520388;1.3221;0.225766065;;1;;
01/04/1973;1.415;0.99930049;0.308585283;0.160976159;;2.4837;;0.0037666;;0.169046057;1.3299;0.221610156;;1;;
01/05/1973;1.415;0.999200639;0.315179925;0.162466897;;2.5306;;0.003778569;;0.172138587;1.3234;0.225592205;;1;;
01/06/1973;1.415809524;1.001602564;0.327528795;0.171271002;;2.5762;;0.003780746;;0.181865735;1.324;0.237413415;;1;;
